Time Stamp, Current-A, Current-B, Current-C
10:52:52,2.2454,2.0891,3.0476
10:52:52,2.2454,2.0891,3.0476
10:52:52,2.2454,2.0891,3.0476
10:52:52,2.2454,2.0891,3.0476
10:52:52,2.2454,2.0891,3.0476
10:52:52,2.2454,2.0891,3.0476
10:52:52,2.2454,2.0891,3.0476
10:52:52,2.2454,2.0891,3.0476
10:52:52,2.2454,2.0891,3.0476
10:52:52,2.2454,2.0891,3.0476
10:52:52,2.2454,2.0891,3.0476
10:52:52,2.2454,2.0891,3.0476
10:52:52,2.2454,2.0891,3.0476
10:52:52,2.2454,2.0891,3.0476
10:52:52,2.2454,2.0891,3.0476
10:52:52,2.2454,2.0891,3.0476
10:52:52,2.2454,2.0891,3.0476
10:52:52,2.2454,2.0891,3.0476
10:52:52,2.2454,2.0891,3.0476
10:52:52,2.2454,2.0891,3.0476
10:52:52,2.2454,2.0891,3.0476
10:52:52,2.2454,2.0891,3.0476
10:52:52,2.2454,2.0891,3.0476
10:52:52,2.2454,2.0891,3.0476
10:52:52,2.2454,2.0891,3.0476
10:52:52,2.2454,2.0891,3.0476
10:52:52,2.2454,2.0891,3.0476
10:52:52,2.2454,2.0891,3.0476
10:52:52,2.2454,2.0891,3.0476
10:52:52,2.2454,2.0891,3.0476
10:52:52,2.2454,2.0891,3.0476
10:52:52,2.2454,2.0891,3.0476
10:52:52,2.2442,2.0952,3.044
10:52:52,2.2442,2.0952,3.044
10:52:52,2.2442,2.0952,3.044
10:52:52,2.2442,2.0952,3.044
10:52:52,2.2442,2.0952,3.044
10:52:52,2.2442,2.0952,3.044
10:52:52,2.2442,2.0952,3.044
10:52:52,2.2442,2.0952,3.044
10:52:52,2.2442,2.0952,3.044
10:52:52,2.2442,2.0952,3.044
10:52:52,2.2442,2.0952,3.044
10:52:52,2.2442,2.0952,3.044
10:52:52,2.2442,2.0952,3.044
10:52:52,2.2442,2.0952,3.044
10:52:52,2.2442,2.0952,3.044
10:52:52,2.2442,2.0952,3.044
10:52:52,2.2442,2.0952,3.044
10:52:52,2.2442,2.0952,3.044
10:52:52,2.2442,2.0952,3.044
10:52:52,2.2442,2.0952,3.044
10:52:52,2.2442,2.0952,3.044
10:52:52,2.2442,2.0952,3.044
10:52:52,2.2442,2.0952,3.044
10:52:52,2.2442,2.0952,3.044
10:52:52,2.2442,2.0952,3.044
10:52:52,2.2442,2.0952,3.044
10:52:52,2.2442,2.0952,3.044
10:52:52,2.2442,2.0952,3.044
10:52:52,2.2442,2.0952,3.044
10:52:52,2.2442,2.0952,3.044
10:52:52,2.2442,2.0952,3.044
10:52:52,2.2442,2.0952,3.044
10:52:52,2.2442,2.0952,3.044
10:52:52,2.2442,2.0952,3.044
10:52:52,2.2442,2.0952,3.044
10:52:52,2.2442,2.0952,3.044
10:52:52,2.2442,2.0952,3.044
10:52:52,2.2442,2.0952,3.044
10:52:52,2.2442,2.0952,3.044
10:52:52,2.2442,2.0952,3.044
10:52:52,2.2442,2.0952,3.044
10:52:52,2.2442,2.0952,3.044
10:52:52,2.2442,2.0952,3.044
10:52:52,2.2442,2.0952,3.044
10:52:52,2.2442,2.0952,3.044
10:52:52,2.2247,2.1172,3.0403
10:52:52,2.2247,2.1172,3.0403
10:52:52,2.2247,2.1172,3.0403
10:52:52,2.2247,2.1172,3.0403
10:52:52,2.2247,2.1172,3.0403
10:52:52,2.2247,2.1172,3.0403
10:52:52,2.2247,2.1172,3.0403
10:52:52,2.2247,2.1172,3.0403
10:52:52,2.2247,2.1172,3.0403
10:52:52,2.2247,2.1172,3.0403
10:52:52,2.2247,2.1172,3.0403
10:52:52,2.2247,2.1172,3.0403
10:52:52,2.2247,2.1172,3.0403
10:52:52,2.2247,2.1172,3.0403
10:52:52,2.2247,2.1172,3.0403
10:52:52,2.2247,2.1172,3.0403
10:52:52,2.2247,2.1172,3.0403
10:52:52,2.2247,2.1172,3.0403
10:52:52,2.2247,2.1172,3.0403
10:52:52,2.2247,2.1172,3.0403
10:52:52,2.2247,2.1172,3.0403
10:52:52,2.2247,2.1172,3.0403
10:52:52,2.2247,2.1172,3.0403
10:52:52,2.2247,2.1172,3.0403
10:52:52,2.2247,2.1172,3.0403
10:52:52,2.2247,2.1172,3.0403
10:52:52,2.2247,2.1172,3.0403
10:52:52,2.2247,2.1172,3.0403
10:52:52,2.2247,2.1172,3.0403
10:52:52,2.2247,2.1172,3.0403
10:52:52,2.2247,2.1172,3.0403
10:52:52,2.2247,2.1172,3.0403
10:52:52,2.2247,2.1172,3.0403
10:52:52,2.2247,2.1172,3.0403
10:52:52,2.2247,2.1172,3.0403
10:52:52,2.2247,2.1172,3.0403
10:52:52,2.2247,2.1172,3.0403
10:52:52,2.2247,2.1172,3.0403
10:52:52,2.2247,2.1172,3.0403
10:52:52,2.2247,2.1172,3.0403
10:52:52,2.2247,2.1172,3.0403
10:52:52,2.2247,2.1172,3.0403
10:52:52,2.2247,2.1172,3.0403
10:52:52,2.2247,2.1172,3.0403
10:52:52,2.2247,2.1172,3.0403
10:52:52,2.2247,2.1172,3.0403
10:52:52,2.2247,2.1172,3.0403
10:52:52,2.2186,2.127,3.0391
10:52:52,2.2186,2.127,3.0391
10:52:52,2.2186,2.127,3.0391
10:52:52,2.2186,2.127,3.0391
10:52:52,2.2186,2.127,3.0391
10:52:52,2.2186,2.127,3.0391
10:52:52,2.2186,2.127,3.0391
10:52:52,2.2186,2.127,3.0391
10:52:52,2.2186,2.127,3.0391
10:52:52,2.2186,2.127,3.0391
10:52:52,2.2186,2.127,3.0391
10:52:52,2.2186,2.127,3.0391
10:52:52,2.2186,2.127,3.0391
10:52:52,2.2186,2.127,3.0391
10:52:52,2.2186,2.127,3.0391
10:52:52,2.2186,2.127,3.0391
10:52:52,2.2186,2.127,3.0391
10:52:52,2.2186,2.127,3.0391
10:52:52,2.2186,2.127,3.0391
10:52:52,2.2186,2.127,3.0391
10:52:52,2.2186,2.127,3.0391
10:52:52,2.2186,2.127,3.0391
10:52:52,2.2186,2.127,3.0391
10:52:52,2.2186,2.127,3.0391
10:52:52,2.2186,2.127,3.0391
10:52:52,2.2186,2.127,3.0391
10:52:52,2.2186,2.127,3.0391
10:52:52,2.2186,2.127,3.0391
10:52:52,2.2186,2.127,3.0391
10:52:52,2.2186,2.127,3.0391
10:52:52,2.2186,2.127,3.0391
10:52:52,2.2186,2.127,3.0391
10:52:52,2.2186,2.127,3.0391
10:52:52,2.2186,2.127,3.0391
10:52:52,2.2186,2.127,3.0391
10:52:52,2.2186,2.127,3.0391
10:52:52,2.2186,2.127,3.0391
10:52:52,2.2186,2.127,3.0391
10:52:52,2.2186,2.127,3.0391
10:52:52,2.2186,2.127,3.0391
10:52:52,2.2186,2.127,3.0391
10:52:52,2.2186,2.127,3.0391
10:52:52,2.2186,2.127,3.0391
10:52:52,2.2039,2.1331,3.044
10:52:52,2.2039,2.1331,3.044
10:52:52,2.2039,2.1331,3.044
10:52:52,2.2039,2.1331,3.044
10:52:52,2.2039,2.1331,3.044
10:52:52,2.2039,2.1331,3.044
10:52:52,2.2039,2.1331,3.044
10:52:52,2.2039,2.1331,3.044
10:52:52,2.2039,2.1331,3.044
10:52:52,2.2039,2.1331,3.044
10:52:52,2.2039,2.1331,3.044
10:52:52,2.2039,2.1331,3.044
10:52:52,2.2039,2.1331,3.044
10:52:52,2.2039,2.1331,3.044
10:52:52,2.2039,2.1331,3.044
10:52:52,2.2039,2.1331,3.044
10:52:52,2.2039,2.1331,3.044
10:52:52,2.2039,2.1331,3.044
10:52:52,2.2039,2.1331,3.044
10:52:52,2.2039,2.1331,3.044
10:52:52,2.2039,2.1331,3.044
10:52:52,2.2039,2.1331,3.044
10:52:52,2.2039,2.1331,3.044
10:52:52,2.2039,2.1331,3.044
10:52:52,2.2039,2.1331,3.044
10:52:52,2.2039,2.1331,3.044
10:52:52,2.2039,2.1331,3.044
10:52:52,2.2039,2.1331,3.044
10:52:52,2.2039,2.1331,3.044
10:52:52,2.2039,2.1331,3.044
10:52:52,2.2039,2.1331,3.044
10:52:52,2.2039,2.1331,3.044
10:52:52,2.2039,2.1331,3.044
10:52:52,2.2039,2.1331,3.044
10:52:52,2.2039,2.1331,3.044
10:52:52,2.2039,2.1331,3.044
10:52:52,2.2039,2.1331,3.044
10:52:52,2.2039,2.1331,3.044
10:52:52,2.2039,2.1331,3.044
10:52:52,2.2039,2.1331,3.044
10:52:52,2.2039,2.1331,3.044
10:52:52,2.2039,2.1331,3.044
10:52:52,2.2039,2.1331,3.044
10:52:52,2.2039,2.1331,3.044
10:52:52,2.2039,2.1331,3.044
10:52:52,2.1954,2.1477,3.0403
10:52:52,2.1954,2.1477,3.0403
10:52:52,2.1954,2.1477,3.0403
10:52:52,2.1954,2.1477,3.0403
10:52:52,2.1954,2.1477,3.0403
10:52:52,2.1954,2.1477,3.0403
10:52:52,2.1954,2.1477,3.0403
10:52:52,2.1954,2.1477,3.0403
10:52:52,2.1954,2.1477,3.0403
10:52:52,2.1954,2.1477,3.0403
10:52:52,2.1954,2.1477,3.0403
10:52:52,2.1954,2.1477,3.0403
10:52:52,2.1954,2.1477,3.0403
10:52:52,2.1954,2.1477,3.0403
10:52:52,2.1954,2.1477,3.0403
10:52:52,2.1954,2.1477,3.0403
10:52:52,2.1954,2.1477,3.0403
10:52:52,2.1954,2.1477,3.0403
10:52:52,2.1954,2.1477,3.0403
10:52:52,2.1954,2.1477,3.0403
10:52:52,2.1954,2.1477,3.0403
10:52:52,2.1954,2.1477,3.0403
10:52:52,2.1954,2.1477,3.0403
10:52:52,2.1954,2.1477,3.0403
10:52:52,2.1954,2.1477,3.0403
10:52:52,2.1954,2.1477,3.0403
10:52:52,2.1954,2.1477,3.0403
10:52:52,2.1954,2.1477,3.0403
10:52:52,2.1954,2.1477,3.0403
10:52:52,2.1954,2.1477,3.0403
10:52:52,2.1954,2.1477,3.0403
10:52:52,2.1954,2.1477,3.0403
10:52:52,2.1954,2.1477,3.0403
10:52:52,2.1954,2.1477,3.0403
10:52:52,2.1954,2.1477,3.0403
10:52:52,2.1954,2.1477,3.0403
10:52:52,2.1954,2.1477,3.0403
10:52:52,2.1954,2.1477,3.0403
10:52:52,2.1954,2.1477,3.0403
10:52:52,2.1954,2.1477,3.0403
10:52:52,2.1954,2.1477,3.0403
10:52:52,2.1954,2.1477,3.0403
10:52:52,2.1954,2.1477,3.0403
10:52:52,2.1954,2.1477,3.0403
10:52:52,2.1954,2.1477,3.0403
10:52:52,2.1893,2.1429,3.0513
10:52:52,2.1893,2.1429,3.0513
10:52:52,2.1893,2.1429,3.0513
10:52:52,2.1893,2.1429,3.0513
10:52:52,2.1893,2.1429,3.0513
10:52:52,2.1893,2.1429,3.0513
10:52:52,2.1893,2.1429,3.0513
10:52:52,2.1893,2.1429,3.0513
10:52:52,2.1893,2.1429,3.0513
10:52:52,2.1893,2.1429,3.0513
10:52:52,2.1893,2.1429,3.0513
10:52:52,2.1893,2.1429,3.0513
10:52:52,2.1893,2.1429,3.0513
10:52:52,2.1893,2.1429,3.0513
10:52:52,2.1893,2.1429,3.0513
10:52:52,2.1893,2.1429,3.0513
10:52:52,2.1893,2.1429,3.0513
10:52:52,2.1893,2.1429,3.0513
10:52:52,2.1893,2.1429,3.0513
10:52:52,2.1893,2.1429,3.0513
10:52:52,2.1893,2.1429,3.0513
10:52:52,2.1893,2.1429,3.0513
10:52:52,2.1893,2.1429,3.0513
10:52:52,2.1893,2.1429,3.0513
10:52:52,2.1893,2.1429,3.0513
10:52:52,2.1893,2.1429,3.0513
10:52:52,2.1893,2.1429,3.0513
10:52:52,2.1893,2.1429,3.0513
10:52:52,2.1893,2.1429,3.0513
10:52:52,2.1893,2.1429,3.0513
10:52:52,2.1893,2.1429,3.0513
10:52:52,2.1893,2.1429,3.0513
10:52:52,2.1893,2.1429,3.0513
10:52:52,2.1893,2.1429,3.0513
10:52:52,2.1893,2.1429,3.0513
10:52:52,2.1893,2.1429,3.0513
10:52:52,2.1893,2.1429,3.0513
10:52:52,2.1893,2.1429,3.0513
10:52:52,2.1893,2.1429,3.0513
10:52:52,2.1893,2.1429,3.0513
10:52:52,2.1893,2.1429,3.0513
10:52:52,2.1893,2.1429,3.0513
10:52:52,2.1893,2.1429,3.0513
10:52:52,2.1709,2.1685,3.0464
10:52:52,2.1709,2.1685,3.0464
10:52:52,2.1709,2.1685,3.0464
10:52:52,2.1709,2.1685,3.0464
10:52:52,2.1709,2.1685,3.0464
10:52:52,2.1709,2.1685,3.0464
10:52:52,2.1709,2.1685,3.0464
10:52:52,2.1709,2.1685,3.0464
10:52:52,2.1709,2.1685,3.0464
10:52:52,2.1709,2.1685,3.0464
10:52:52,2.1709,2.1685,3.0464
10:52:52,2.1709,2.1685,3.0464
10:52:52,2.1709,2.1685,3.0464
